            Size |          Classic |         Winograd |       Imprv Wino
       100 x 100 |        16860.899 |        12159.831 |         8469.768
       200 x 200 |        71773.870 |        53924.422 |        22327.312
       300 x 300 |       199509.085 |       145400.129 |        73765.790
       400 x 400 |       480247.716 |       413449.715 |       221050.237
       500 x 500 |       924633.325 |       895566.627 |       497764.570
       600 x 600 |      1609519.232 |      1335399.301 |       664680.262
       700 x 700 |      2554130.018 |      2473285.727 |      1313960.753
       800 x 800 |      3787393.331 |      3224772.773 |      1649603.368
       900 x 900 |      5390613.025 |      5100640.104 |      2701634.270
     1000 x 1000 |      7382112.183 |      7616803.969 |      3989468.619
       101 x 101 |         9524.523 |         5206.379 |         9586.106
       201 x 201 |        59998.172 |        39825.778 |        22183.125
       301 x 301 |       201030.462 |       155083.030 |        91879.492
       401 x 401 |       477239.743 |       424811.770 |       258421.546
       501 x 501 |       938843.417 |       707392.150 |       415434.885
       601 x 601 |      1611703.050 |      1301551.374 |       759721.619
       701 x 701 |      2562564.159 |      2029192.473 |      1161672.024
       801 x 801 |      3806743.669 |      3410923.093 |      2028871.650
       901 x 901 |      5411540.831 |      5142839.826 |      3171901.167
     1001 x 1001 |      7437729.503 |      7465173.343 |      4745737.952
