            Size |          Classic |         Winograd |       Imprv Wino
       100 x 100 |        34303.862 |        23897.936 |        21701.267
       200 x 200 |        90882.725 |        56678.268 |        22519.533
       300 x 300 |       264946.624 |       142871.031 |        70243.943
       400 x 400 |       506252.277 |       408448.547 |       211777.668
       500 x 500 |       945501.688 |       924791.357 |       495143.749
       600 x 600 |      1638829.945 |      1578927.315 |       808275.188
       700 x 700 |      2606130.880 |      2765799.423 |      1457631.781
       800 x 800 |      3875033.919 |      3450390.410 |      1608369.515
       900 x 900 |      5618476.854 |      4995080.092 |      2481700.556
     1000 x 1000 |      7651176.123 |      9662025.148 |      5265635.977
